ablation,setting,seed,n_train,n_val,accuracy,macro_f1,d_mae,d_mae_vertical,d_mae_oxer
type_cond,with_type,0,100,10,0.9,0.4736842105263158,nan,nan,nan
type_cond,no_type,0,100,10,1.0,1.0,nan,nan,nan
type_cond,with_type,1,94,16,0.875,0.4666666666666667,nan,nan,nan
type_cond,no_type,1,94,16,0.9375,0.4838709677419355,nan,nan,nan
type_cond,with_type,2,94,16,0.9375,0.4838709677419355,nan,nan,nan
type_cond,no_type,2,94,16,0.9375,0.4838709677419355,nan,nan,nan
pretext,both,0,100,10,0.9,0.4736842105263158,nan,nan,nan
pretext,both,1,94,16,0.875,0.4666666666666667,nan,nan,nan
pretext,both,2,94,16,0.9375,0.4838709677419355,nan,nan,nan
